key,achieve_hp,achieve_num,achieve_value,des,name
4120,30,64,20,炼神总进度达到64,心无杂念
4110,80,14,10,挑战风啸岬8层14次,再探风啸岬8层
4111,80,60,20,挑战风啸岬8层60次,风啸岬8层熟客
4112,80,2,5,挑战风啸岬9层2次,初入风啸岬9层
4113,80,14,10,挑战风啸岬9层14次,再探风啸岬9层
4114,80,60,20,挑战风啸岬9层60次,风啸岬9层熟客
4115,80,2,5,挑战风啸岬10层2次,初入风啸岬10层
4116,80,14,10,挑战风啸岬10层14次,再探风啸岬10层
4117,80,60,20,挑战风啸岬10层60次,风啸岬10层熟客
4118,10,16,5,炼神总进度达到16,包罗万象
4107,30,14,10,挑战风啸岬7层14次,再探风啸岬7层
54,20,500,10,寻仙次数达到500次,仙缘深厚
4121,30,80,30,炼神总进度达到80,万事皆空
4122,80,121,100,获得所有英雄成就,倾城英雄
57,80,1,10,获得一只紫色仙宠,锦上添花
58,10,10,20,仙宠学习技能达到10个,蓄势待发
59,30,10,20,仙宠10个技能达到3级,显而易见
51,20,1,10,成为vip会员,略高一等
52,80,1,20,成为至尊vip会员,声名显赫
53,20,50,5,寻仙次数达到50次,飘渺之旅
520,80,1,25,仙宠成长达到70点,蒸蒸日上
55,30,5000,20,寻仙次数达到5000次,仙缘附体
56,80,10000,50,寻仙次数达到10000次,仙人不留神
523,80,1,20,仙宠兽灵天赋全部达到30级,天翻地覆
67,30,8000,20,仙门内总帮贡达到8000,劳苦功高
68,30,16000,25,仙门内总帮贡达到16000,丰功伟绩
69,20,10,5,温泉嬉戏次数达10次,我爱戏水
61,20,50,10,交友数量达到50,志同道合
62,10,100,20,交友数量达到100,胜友如云
63,20,1,5,加入或者创建一个仙门,拉帮结派
516,20,1,5,仙宠成长达到30点,突飞猛进
517,10,1,10,仙宠成长达到41点,雨后春笋
518,10,1,15,仙宠成长达到51点,与时俱进
519,30,1,20,仙宠成长达到61点,欣欣向荣
521,10,1,10,仙宠兽灵天赋全部达到10级,天赋异宠
522,10,1,15,仙宠兽灵天赋全部达到20级,翻江倒海
64,20,200,5,仙门内总帮贡达到200,自力更生
65,10,1000,10,仙门内总帮贡达到1000,孜孜不倦
66,10,4000,15,仙门内总帮贡达到4000,功不可没
611,20,10,5,温泉中搓澡10次,心无旁骛
612,10,100,10,温泉中搓澡100次,全神贯注
610,10,100,10,温泉中戏水100次,舒筋活血
613,80,12,20,获得所有互动成就,广结善缘
110,20,24,5,参加善赏任务达24次,我爱揭榜
111,10,120,10,参加善赏任务达120次,揭榜勇士
112,80,1200,20,参加善赏任务达1200次,赏金猎人
114,10,150,10,积极参加仙门任务达150次,帮会指南
115,80,1500,20,积极参加仙门任务达1500次,帮会百科
116,20,15,5,轩辕令任务完成次数达15次,收集癖好
117,10,80,10,轩辕令任务完成次数达80次,凭证大师
118,80,750,20,轩辕令任务完成次数达750次,凭证专家
119,20,15,5,镖师任务完成次数达15次,初尝押镖
120,10,80,10,镖师任务完成次数达80次,赚点外快
113,20,30,5,积极参加仙门任务达30次,为了帮会
122,20,15,5,云中阁任务完成次数达到15次,上蹿下跳
123,10,80,10,云中阁任务完成次数达到80次,高入云霄
124,80,750,20,云中阁任务完成次数达到750次,九霄云外
125,80,24,100,获得所有任务成就,英雄救世
121,80,750,20,镖师任务完成次数达750次,一镖名扬
210,30,8,20,身着一套70级金色装备,混元斗金
211,80,8,50,身着一套80级金色装备,撕天裂地
212,20,13,10,将全身装备强化至5星,繁星点点
213,10,13,20,将全身装备强化至7星,仙人转世
214,10,13,20,将全身装备强化至8星,光辉灿烂
215,30,13,20,将全身装备强化至9星,流光飞舞
216,30,13,20,将全身装备强化至10星,光可鉴人
217,80,13,50,将全身装备强化至11星,光华夺目
218,80,13,100,将全身装备强化至12星,光芒万丈
219,10,1,5,坐骑的强化达到7星,健步如飞
220,10,1,10,坐骑的强化达到8星,风驰电掣
221,30,1,10,坐骑的强化达到9星,蹑影追风
222,30,1,10,坐骑的强化达到10星,逐电追风
223,80,1,15,坐骑的强化达到11星,日行百里
224,80,1,20,坐骑的强化达到12星,日行千里
225,10,1,5,自身时装强化至7星,穿红着绿
226,10,1,10,自身时装强化至8星,美轮美奂
227,30,1,10,自身时装强化至9星,雍容华贵
228,30,1,10,自身时装强化至10星,锦罗玉衣
229,80,1,15,自身时装强化至11星,贵气逼人
230,80,1,20,自身时装强化至12星,佩紫怀黄
231,10,26,10,宝石镶嵌数量达26颗,晶莹剔透
232,10,52,10,3级宝石镶嵌数量达52颗,光彩夺目
233,10,52,15,4级宝石镶嵌数量达52颗,五光十色
234,30,65,20,5级宝石镶嵌数量达65颗,璀璨夺目
235,30,65,25,6级宝石镶嵌数量达65颗,珠围翠绕
236,80,65,30,7级宝石镶嵌数量达65颗,玲珑剔透
237,80,65,100,8级宝石镶嵌数量达65颗,巧夺天工
238,20,1,5,附魔出现1件拥有3属性的装备,一箭三雕
239,10,13,30,附魔出现13件拥有3属性的装备,凤毛麟角
240,10,1,5,附魔后出现1条金色属性,金光闪闪
241,10,13,15,附魔后出现13条金色属性,金光耀眼
242,30,39,30,附魔后出现39条金色属性,金碧辉煌
243,80,42,100,获得所有神装成就,天人合一
310,30,1,5,击杀混天魔王1次,初遇混天魔王
311,30,10,10,击杀混天魔王10次,完胜混天魔王
312,80,100,20,击杀混天魔王100次,混天魔王克星
313,30,1,5,击杀覆海魔王1次,初遇覆海魔王
314,30,10,10,击杀覆平天魔王10次,完胜覆海魔王
315,80,100,20,击杀覆海魔王100次,覆海魔王克星
316,30,1,5,击杀平天魔王1次,初遇平天魔王
317,30,10,10,击杀平天魔王10次,完胜平天魔王
318,80,100,20,击杀平天魔王100次,通风平天魔王
319,30,1,5,击杀诛心魔王1次,初遇诛心魔王
320,30,10,10,击杀诛心魔王10次,完胜诛心魔王
321,80,100,20,击杀诛心魔王100次,诛心魔王克星
322,30,1,5,击杀阴毒魔王1次,初遇阴毒魔王
323,30,10,10,击杀阴毒魔王10次,完胜阴毒魔王
324,80,100,20,击杀阴毒魔王100次,阴毒魔王克星
325,30,1,5,击杀波旬魔王1次,初遇波旬魔王
326,30,10,10,击杀波旬魔王10次,完胜波旬魔王
327,80,100,20,击杀波旬魔王100次,波旬魔王克星
328,10,1,5,击杀蓐收1次,初遇蓐收
329,10,10,10,击杀蓐收10次,完胜蓐收
330,10,100,20,击杀蓐收100次,蓐收克星
331,10,1,5,击杀巨芒1次,初遇巨芒
332,10,10,10,击杀巨芒10次,完胜巨芒
333,10,100,20,击杀巨芒100次,巨芒克星
334,10,1,5,击杀共工1次,初遇共工
335,10,10,10,击杀共工10次,完胜共工
336,10,100,20,击杀共工100次,共工克星
337,10,1,5,击杀祝融1次,初遇祝融
338,10,10,10,击杀祝融10次,完胜祝融
339,10,100,20,击杀祝融100次,祝融克星
340,30,1,5,击杀后土1次,初遇后土
341,30,10,10,击杀后土10次,完胜后土
342,30,100,20,击杀后土100次,后土克星
343,30,1,5,击杀玄冥1次,初遇玄冥
344,30,10,10,击杀玄冥10次,完胜玄冥
345,30,100,20,击杀玄冥100次,玄冥克星
346,30,1,5,击杀强良1次,初遇强良
347,30,10,10,击杀强良10次,完胜强良
348,30,100,20,击杀强良100次,强良克星
349,30,1,5,击杀帝江1次,初遇帝江
350,30,10,10,击杀帝江10次,完胜帝江
351,80,100,20,击杀帝江100次,帝江克星
352,30,1,5,击杀奢比尸1次,初遇奢比尸
353,30,10,10,击杀奢比尸10次,完胜奢比尸
354,80,100,20,击杀奢比尸100次,奢比尸克星
355,80,54,100,获得所有倾城成就,一代宗师
410,10,1,15,战力达到20000,青出于蓝
411,10,1,20,战力达到25000,心领神会
412,10,1,25,战力达到30000,略有大成
413,30,1,30,战力达到35000,豁然贯通
414,30,1,35,战力达到40000,非比寻常
415,30,1,40,战力达到45000,出类拔萃
416,80,1,45,战力达到50000,罕有敌手
417,80,1,50,战力达到55000,技冠群雄
418,80,1,100,战力达到60000,卓尔不凡
419,80,1,150,战力达到65000,出神入化
420,80,1,200,战力达到70000,登峰造极
421,10,30,10,昆山斗法中胜利30场,一触即溃
422,10,90,15,昆山斗法中胜利90场,势不可挡
423,10,150,20,昆山斗法中胜利150场,大获全胜
424,30,600,25,昆山斗法中胜利600场,摧枯拉朽
425,30,1800,30,昆山斗法中胜利1800场,所向无敌
426,20,4,5,挑战通灵道10层4次,通灵道10层霸王
427,10,30,10,挑战通灵道10层30次,通灵道10层霸主
428,20,2,5,挑战通灵道20层2次,通灵道20层霸王
429,10,30,10,挑战通灵道20层30次,通灵道20层霸主
430,10,2,5,挑战通灵道30层2次,通灵道30层霸王
431,10,30,10,挑战通灵道30层30次,通灵道30层霸主
432,10,2,5,挑战通灵道40层2次,通灵道40层霸王
433,10,30,10,挑战通灵道40层30次,通灵道40层霸主
434,10,2,5,挑战通灵道50层2次,通灵道50层霸王
435,10,30,10,挑战通灵道50层30次,通灵道50层霸主
436,10,2,5,挑战通灵道60层2次,通灵道60层霸王
437,10,30,10,挑战通灵道60层30次,60层霸主
438,30,2,5,挑战通灵道70层2次,通灵道70层霸王
439,30,30,10,挑战通灵道70层30次,通灵道70层霸主
440,30,2,5,挑战通灵道80层2次,通灵道80层霸王
441,30,30,10,挑战通灵道80层30次,通灵道80层霸主
442,30,2,5,挑战通灵道90层2次,通灵道90层霸王
443,30,30,10,挑战通灵道90层30次,通灵道90层霸主
444,80,2,5,挑战通灵道100层2次,通灵道100层霸王
445,80,30,10,挑战通灵道100层30次,通灵道100层霸主
446,10,2,5,挑战通灵谷10层4次,通灵谷10层霸王
447,10,30,10,挑战通灵谷10层30次,通灵谷10层霸主
448,10,2,5,挑战通灵谷20层2次,通灵谷20层霸王
449,10,30,10,挑战通灵谷20层30次,通灵谷20层霸主
450,10,2,5,挑战通灵谷30层2次,通灵谷30层霸王
451,10,30,10,挑战通灵谷30层30次,通灵谷30层霸主
452,10,2,5,挑战通灵谷40层2次,通灵谷40层霸王
453,10,30,10,挑战通灵谷40层30次,通灵谷40层霸主
454,10,2,5,挑战通灵谷50层2次,通灵谷50层霸王
456,30,2,5,挑战通灵谷60层2次,通灵谷60层霸王
457,30,30,10,挑战通灵谷60层30次,通灵谷60层霸主
458,30,2,5,挑战通灵谷70层2次,通灵谷70层霸王
459,30,30,10,挑战通灵谷70层30次,通灵谷70层霸主
460,30,2,5,挑战通灵谷80层2次,通灵谷80层霸王
461,30,30,10,挑战通灵谷80层30次,通灵谷80层霸主
462,30,2,5,挑战通灵谷90层2次,通灵谷90层霸王
455,10,30,10,挑战通灵谷50层30次,通灵谷50层霸主
464,80,2,5,挑战通灵谷100层2次,通灵谷100层霸王
465,80,30,10,挑战通灵谷100层30次,通灵谷100层霸王
466,20,2,5,通过寒风岭1层2次,初入寒风岭1层
467,10,14,10,通过寒风岭1层14次,寒风岭1层常客
468,20,2,5,通过寒风岭3层2次,初入寒风岭3层
469,10,14,10,通过寒风岭3层14次,寒风岭3层常客
470,10,2,5,通过寒风岭6层2次,初入寒风岭6层
463,30,30,10,挑战通灵谷90层30次,通灵谷90层霸主
472,10,2,5,通过寒风岭9层2次,初入寒风岭9层
473,10,14,10,通过寒风岭9层14次,寒风岭9层常客
474,30,2,5,通过寒风岭12层2次,初入寒风岭12层
475,30,14,10,通过寒风岭12层14次,寒风岭12层常客
476,30,2,5,通过寒风岭15层2次,初入寒风岭15层
477,30,14,10,通过寒风岭15层14次,寒风岭15层常客
478,30,2,5,通过寒风岭18层2次,初入寒风岭18层
471,10,14,10,通过寒风岭6层14次,寒风岭6层常客
480,30,2,5,通过寒风岭21层2次,初入寒风岭21层
481,30,14,10,通过寒风岭21层14次,寒风岭21层常客
482,80,2,5,通过寒风岭24层2次,初入寒风岭24层
483,80,14,10,通过寒风岭24层14次,寒风岭24层常客
484,80,2,5,通过寒风岭27层2次,初入寒风岭27层
485,80,14,10,通过寒风岭27层14次,寒风岭27层常客
486,80,2,5,通过寒风岭30层2次,初入寒风岭30层
479,30,14,10,通过寒风岭18层14次,寒风岭18层常客
488,10,2,5,挑战风啸岬1层2次,初入风啸岬1层
489,10,14,10,挑战风啸岬1层14次,再探风啸岬1层
490,30,60,20,挑战风啸岬1层60次,风啸岬1层熟客
491,10,2,5,挑战雪域古迹2层2次,初入风啸岬2层
492,10,14,10,挑战雪域古迹2层14次,再探风啸岬2层
493,30,60,20,挑战雪域古迹2层60次,风啸岬2层熟客
494,10,2,5,挑战风啸岬3层2次,初入风啸岬3层
487,80,14,10,通过寒风岭30层14次,寒风岭30层常客
496,30,60,20,挑战风啸岬3层60次,风啸岬3层熟客
497,10,2,5,挑战风啸岬4层2次,初入风啸岬4层
498,10,14,10,挑战风啸岬4层14次,再探风啸岬4层
499,30,60,20,挑战风啸岬4层60次,风啸岬4层熟客
495,10,14,10,挑战风啸岬3层14次,再探风啸岬3层
510,30,10,30,仙宠10个技能达到4级,了然于胸
511,80,10,40,仙宠10个技能达到5级,融会贯通
00,0,282,4990,,修行总览
01,0,25,380,,修于行止
03,0,55,730,,倾国倾城
05,0,24,505,,天下收藏
04,0,122,2170,,气吞山河
06,0,13,160,,广结善缘
02,0,43,1045,,炼器宗师
