key,awardexp,awardgift,bindmoney,bonusexplain,bonusid,name2
312,0,0,0,[提示：#fee300]|n|{通灵道，2030012}副本，掉落造物紫色装备的材料，并有机会掉落藏神石碎片。击杀范无救即可达成目标。,13110061^1$13110021^4$13110011^12,击杀范无救
313,0,0,0,[提示：#fee300]|n|点开炼器的(星阶页面，enchant，0)，将主手武器星阶提升至4星，佩戴后即可完成目标。,13010011^3,提升主手武器星阶+4
314,0,0,0,[提示：#fee300]|n|(炼体，venation，1)可以提升人物属性，消耗的灵力可以通过温泉和帮会吸灵获得，打坐修炼也能获得灵力。另{多宝阁，2030015}产出大量的钱币。,19010121^8$19010651^2,炼体达到20点
315,0,0,0,[提示：#fee300]|n|打开(仙门，guild，0)页面，可以查看仙门列表，选择一个仙门加入。仙门是游戏中最大的组织，加入仙门可以参加多样的仙门战场、参加仙门吸灵和各种仙门活动。,13110021^4$13110011^12,创建或加入仙门
316,0,0,0,[提示：#fee300]|n|(镶嵌，enchant，3)可以在装备上增加固定属性，是提升实力的重要方式。将身上装备镶嵌2颗灵石即可。,13050011^2$14000001^10,镶嵌2颗灵石
317,100000,50,50000,[提示：#fee300]|n|升级需要大量经验，可以通过完成主线支线任务、(日常任务，activity，2)以及(日常副本，activity，4)获得。,13110031^3$13110061^3,等级达到40级
710,0,0,0,第七章【一代神君】|n|如今修为已经暗合大道，以杀伐手段成就人世间大功德，却似天道无私无亲，丰功伟绩被世间所传颂。,,
711,0,0,0,[提示：#fee300]|n|攻击是你战胜对手的先决条件，可以通过(炼体，venation，1)、(星阶，enchant，0)、(镶嵌，enchant，3)、(器灵附魔，enchant，5)等方式来提高攻击。攻击达到2400即可完成目标。,13010011^3$13010021^3$13010031^3,攻击值达到2400
712,0,0,0,[提示：#fee300]|n|生命值决定了战斗中的生死存亡。可以通过(炼体，venation，1)、(星阶，enchant，0)、(镶嵌，enchant，3)、(器灵附魔，enchant，5)等方式来提高生命。,13110051^5$13030021^5,生命值达到15000
713,0,0,0,[提示：#fee300]|n|防御对应攻击属性，防御越高受到的伤害越低。可以通过提升(炼体，venation，1)、(星阶，enchant，0)、(器灵，enchant，5)等多种方式来提高防御。,19010651^5$19010661^5,三项防御值达到1600
714,0,0,0,[提示：#fee300]|n|战力值统计了角色的综合能力，代表人物的战斗实力。通过提升角儿的各项属性可提升战力值。,13010031^5$13030031^5,战力值达到30000
715,0,0,0,[提示：#fee300]|n|点开炼器的(星阶页面，enchant，0)，将主手武器星阶提升至9星，佩戴后即可完成。,13110051^5$13030031^5,提升主手武器星阶+10
716,0,0,0,[提示：#fee300]|n|点开炼器的(星阶，enchant，0)界面，把需要星阶的装备放入，共13件（不含坐骑、时装和披风）装备升到8星即可完成。,13010031^5$13030031^5,提升全身装备星阶+8
717,8000000,300,300000,[提示：#fee300]|n|升级需要大量经验，可以通过完成主线支线任务、日常循环任务以及各种日常副本获得。或通过挂机刷怪，快速升级。,13040011^10,等级达到80级
210,0,0,0,第二章【初露锋芒】|n|红尘之中有大道，入世历练经年，谨守证道之心，惩恶扬善，显露出修行已趋大成。,,
211,0,0,0,[提示：#fee300]|n|漫漫修行路，仙友是你人生的莫大财富。好友升级可以互贺并获得经验和灵力。,19000301^2,结交1个仙友
212,0,0,0,[提示：#fee300]|n|击杀怪物能获得部分经验。通过完成主线任务可完成击杀怪物的目标,19000271^2,击杀怪物20个
213,0,0,0,[提示：#fee300]|n|装备可以大幅提高属性。通过主线任务和成长礼包可获得装备。,11020201^1,佩戴6件装备
214,0,40,20000,[提示：#fee300]|n|完成主线任务可快速提升到30级。,11040601^1,等级达到30级
610,0,0,0,第六章【纵横四海】|n|天人大乱之势已成，故与众有道之士，在天下杀伐果断，纵横往来，阻止魑魅魍魉于人间再生祸端。,,
611,0,0,0,[提示：#fee300]|n|攻击是你战胜对手的先决条件，可以通过(炼体，venation，1)、(星阶，enchant，0)、(镶嵌，enchant，3)、(器灵附魔，enchant，5)等方式来提高攻击。攻击达到1500即可完成目标。,13010011^3$13010021^3,攻击值达到1500
612,0,0,0,[提示：#fee300]|n|生命值决定了战斗中的生死存亡。可以通过(炼体，venation，1)、(星阶，enchant，0)、(镶嵌，enchant，3)、(器灵附魔，enchant，5)等方式来提高生命。,13110041^5$13030021^5,生命值达到6000
613,0,0,0,[提示：#fee300]|n|战力值统计了角色的综合能力，代表人物的战斗实力。通过提升角儿的各项属性可提升战力值。,13010021^5$13020041^5,战力值达到18000
614,0,0,0,[提示：#fee300]|n|点开炼器的(星阶，enchant，0)界面，把需要星阶的装备放入，共13件（不含坐骑、时装和披风）装备升到7星即可完成。,13010021^5$13030021^5,提升全身装备星阶+7
615,0,0,0,[提示：#fee300]|n|(炼神，venation，2)可以提高炼体属性的加成效果。九阳护神丹可在(仙缘福报，pray，0)中获得。将任意一炼神属性+7即可完成。,19010651^5$19010661^5,炼神达到+7
616,0,0,0,[提示：#fee300]|n|点开炼器的(星阶页面，enchant，0)，将主手武器星阶提升至9星，佩戴后即可完成。,13110041^5$13030021^5,提升主手武器星阶+9
617,5000000,200,200000,[提示：#fee300]|n|升级需要大量经验，可以通过完成主线支线任务、日常循环任务以及各种日常副本获得。或通过挂机刷怪，快速升级。,13040011^5,等级达到70级
510,0,0,0,第五章【游历天下】|n|人世沉浮数十载，修为已如鲤鱼化龙，但始终未能了却救世之愿心，故游历天下，再度修行，以待机缘。,,
511,0,0,0,[提示：#fee300]|n|点开炼器的(星阶，enchant，0)界面，把需要升星的装备放入，共13件（不含坐骑、时装和披风）装备升到6星即可完成。,13010021^5$13030021^5,提升全身装备星阶+6
