key,colorlist,format,paramlist,type,viewStr
79,#FEE84E$$#3399ff$#3399ff,[公告]：$已在商城优惠专区中上架，价格$元宝，限购$个，大家快去抢购！,2$4$4,10,我要抢购$ShoppeWindow$0$0
80,#FEE84E$#3399ff$#3399ff,[战报]：$在通灵道副本中，击退了第30波怪物BOSS$，实乃霸气无双，人中龙凤！,1$5,10,
81,#FEE84E$#3399ff$#3399ff,[战报]：$在通灵道副本中，击退了第40波怪物BOSS$，实乃霸气无双，人中龙凤！,1$5,10,
82,#FEE84E$#3399ff$#3399ff,[战报]：$在通灵道副本中，击退了第50波怪物BOSS$，实乃霸气无双，人中龙凤！,1$5,10,
83,#FEE84E$#3399ff$#3399ff,[战报]：$在通灵道副本中，击退了第60波怪物BOSS$，实乃霸气无双，人中龙凤！,1$5,10,
84,#FEE84E$#3399ff$#3399ff,[战报]：$在通灵道副本中，击退了第70波怪物BOSS$，实乃霸气无双，人中龙凤！,1$5,10,
85,#FEE84E$#3399ff$#3399ff,[战报]：$在通灵道副本中，击退了第80波怪物BOSS$，实乃霸气无双，人中龙凤！,1$5,10,
86,#FEE84E$#3399ff$#3399ff,[战报]：$在通灵道副本中，击退了第90波怪物BOSS$，实乃霸气无双，人中龙凤！,1$5,10,
87,#FEE84E$#3399ff$#3399ff,[战报]：$在通灵道副本中，击退了第100波怪物BOSS$，实乃霸气无双，人中龙凤！,1$5,10,
88,#FEE84E$#3399ff$#3399ff,[战报]：$通灵谷副本中，击退了第30波怪物BOSS$，实乃霸气无双，人中龙凤！,1$5,10,
89,#FEE84E$#3399ff$#3399ff,[战报]：$通灵谷副本中，击退了第40波怪物BOSS$，实乃霸气无双，人中龙凤！,1$5,10,
90,#FEE84E$#3399ff$#3399ff,[战报]：$通灵谷副本中，击退了第50波怪物BOSS$，实乃霸气无双，人中龙凤！,1$5,10,
91,#FEE84E$#3399ff$#3399ff,[战报]：$通灵谷副本中，击退了第60波怪物BOSS$，实乃霸气无双，人中龙凤！,1$5,10,
92,#FEE84E$#3399ff$#3399ff,[战报]：$通灵谷副本中，击退了第70波怪物BOSS$，实乃霸气无双，人中龙凤！,1$5,10,
93,#FEE84E$#3399ff$#3399ff,[战报]：$通灵谷副本中，击退了第80波怪物BOSS$，实乃霸气无双，人中龙凤！,1$5,10,
94,#FEE84E$#3399ff$#3399ff,[战报]：$通灵谷副本中，击退了第90波怪物BOSS$，实乃霸气无双，人中龙凤！,1$5,10,
95,#FEE84E$#3399ff$#3399ff,[战报]：$通灵谷副本中，击退了第100波怪物BOSS$，实乃霸气无双，人中龙凤！,1$5,10,
1103,#FEE84E$#3399ff$#e20e20,[传闻]：$已被鄙视$次，可谓 宁教万人切齿恨，莫教无有骂我人！,1$5,10,
97,#FEE84E$#3399ff$#3399ff,[传闻]：$幸运的在商城中抢购到了$，凤凰降临从此世间再添一位天神。,1$2,10,我要抢购$ShoppeWindow$3$0
98,#FEE84E$#3399ff$#3399ff,[传闻]：$幸运的在商城中抢购到了$，三尾降世万妖拜服恭迎新尊。,1$2,10,我要抢购$ShoppeWindow$3$0
99,#FEE84E$#3399ff$$,[传闻]：$已经无人可挡！将$成功击杀，并获得$,1$5$2,10,
1107,#FEE84E$#3399ff$#e20e24,[传闻]：$已被崇拜$次，可谓 名传苍茫大地，声震六合八方！,1$5,10,
101,#FEE84E$#3399ff$,[传闻]：$在群雄逐鹿中，力克诛心魔王，获得$,1$2,10,
102,#FEE84E$#3399ff$,[传闻]：$在通灵副本中，一举灭【帅】，获得$,1$2,10,
1110,#FEE84E$#3399ff$#3399ff$#fca50f,[传闻]：$将爱宠$进化为$！无比拉风,1$2$2,10,
104,#FEE84E$#3399ff$,[传闻]：$经过不懈努力，集齐了8种月饼，在节日使者处换得了$,1$2,10,
1102,#FEE84E$#3399ff$#e20e19,[传闻]：$已被鄙视$次，真是 美名不爱爱恶名，大奸似忠心不惩！,1$5,10,
1122,#FEE84E$#3399ff,[传闻]：$终于获得清白之身，洗心革面，重新做人。,1,10,
1104,#FEE84E$#3399ff$#e20e21,[传闻]：$已被鄙视$次，真乃 雄中雄，道不同，看破万古仁义名！,1$5,10,
1105,#FEE84E$#3399ff$#e20e22,[传闻]：$已被崇拜$次，正是 大江东去，浪淘尽，千古风流人物！,1$5,10,
1106,#FEE84E$#3399ff$#e20e23,[传闻]：$已被崇拜$次，真是 众口传唱万古名，丰功伟绩照汗青！,1$5,10,
1134,#FEE84E$#3399ff$#3399ff$#3399ff,[公告]：$触犯了众怒，被$$严令通缉，增加了100点罪恶值！,1$5$1,10,
1108,#FEE84E$#3399ff$#e20e25,[传闻]：$已被崇拜$次，真乃 九天揽月，深海缚龙。只手遮天，称霸群雄！,1$5,10,
1128,#FEE84E,[公告]：全服运镖已经开启，此时运镖可获得双倍奖励，请众勇士速速前往接镖！,,8,我要运镖$$0$2030021
1120,#FEE84E$#3399ff,[传闻]：$已杀戮成狂，嗜血成性！,1,10,
1111,#FEE84E$#3399ff$,[祝贺]：恭喜$获得极品道具$,1$2,10,
1101,#FEE84E$#3399ff$#e20e18,[传闻]：$已被鄙视$次，正是 一眼望去尽中指，横眉冷对千夫耻！,1$5,10,
1123,#FEE84E$#3399ff$#3399ff,[传闻]：$将$绳之于法，押送监狱，众人拍手称快！,1$1,8,
1133,#FEE84E$#3399ff$#3399ff$#3399ff,[公告]：$$慈悲为怀，赦免了$100点罪恶值！,5$1$1,10,
1125,#FEE84E$#3399ff$,[传闻]：$使用刷镖功能成功接取了$！富贵还须险中求！,1$5,10,我要运镖$$0$2030021
1143,#FEE84E$#3399ff$$#ff0000,[传闻]：$将宠物$的资质提升到了$点，宠物能力得到了大幅提升。真是皇天不负有心人啊！,1$6$4,9,
1127,#FEE84E$#3399ff$#3399ff,[传闻]：$洗劫了$的镖车，实在是太惨无人道了……,1$1,10,
1137,#FEE84E$#3399ff$#ff0000,[公告]：$仙门在晶石争夺战中获得第$名！,5$4,10,
1129,#FEE84E$#3399ff$#3399ff,[公告]：$仙门的帮主$在国王争夺战中胜出，成为新一代的国王！,5$1,10,
1130,#FEE84E$#3399ff$#3399ff$#3399ff,[公告]：$$任命$为王国大将军！,5$1$1,10,
1121,#FEE84E$#3399ff,[传闻]：$杀人如麻，罪大恶极，已被国王下令通缉！,1,10,
1132,#FEE84E$#3399ff$#3399ff$#3399ff,[公告]：$言多必失，被$$禁言30分钟！,1$5$1,10,
1142,#FEE84E$#3399ff$#ff0000$,[传闻]：$经过一番努力，活跃度竟然达到了$点，领取了令人垂涎三尺的$！,1$4$2,10,我要活跃$NewActivityWindow$0$0
1151,#FEE84E$#3399ff$#3399ff$#FF0000$#FF0000,[祝贺]：$成功向$送了$朵香气浓郁的鲜花，两人增加了$好友度!,1$2,10,我也要送$FriendSendFlowerWnd$0$0
1144,#FEE84E$#3399ff$$#ff0000,[传闻]：$将宠物$的成长提升到了$点，真是，灵宠欲与主人试比高，欢喜主人笑弯腰！,1$6$4,9,
1136,#FEE84E$#3399ff$#ff0000$#00FF00,[传闻]：$在晶石争夺战中成功破坏$，为仙门增加$积分，撒花,1$5$4,8,
1146,#FEE84E$#3399ff$#ff0000,[传闻]：$获得了$，实在是神技在手，天下我有！,1$2,10,
1138,#FEE84E$#3399ff$$#00FF00,[传闻]：惊险啊！$的$升$星失败，使用了保护石保障了升星等级不下降。真是柳暗花明，否极泰来！,1$3$4,9,趁机升星$EnhanceViewWindow$0$0
1139,#FEE84E,[公告]：仙门吸灵已经开启，回到仙门驻地可获得大量经验与灵力！,,8,
1140,#FEE84E$#3399ff$$#00FF00$#00FF00,[传闻]：遗憾啊！$的$升$星失败，等级掉到了$星，真是让人扼腕叹息！,1$3$4$4,9,趁机升星$EnhanceViewWindow$0$0
1131,#FEE84E$#3399ff$#3399ff$#3399ff,[公告]：$$任命$为王国卫队成员！,5$1$1,10,
1152,#FEE84E$#3399ff$,[传闻]：$夜观星象，机缘巧合之下得到了千载难逢的$，真是让人羡慕嫉妒恨！,1$7,10,我要占星$mc_astrology$0$0
1161,#FEE84E$#ff0000,[传闻]：恭喜$笑傲八方，夺得天山斗法第二名，获三大斗者称号。,1,10,
1145,#FEE84E$#3399ff$$#00ff00$#00ff00,[传闻]：$将宠物$的兽灵天赋$提升到了$级，宠宠却弱弱的说，主人，我听懂了贝多芬的忧伤~,1$6$5$4,9,
1163,#FEE84E$#ff0000,[传闻]：$已连胜5场，越战越勇，威风尽显。,1,10,
1147,#FEE84E$#3399ff$#ff0000,[传闻]：$幸运的获得了$，此宠只应天上有，只因淘气落人间。,1$6,10,
1148,#FEE84E$#3399ff$#3399ff$#fca50f,[传闻]：$终于将爱宠$进阶为$！激动的拉着爱宠的手说，走，咱上非诚勿扰给你找伴去！,1$6$6,10,
1149,#FEE84E$#3399ff$$,[祝贺]：$开启了$，获得了令人垂涎三尺的$！,1$2$2,10,
1150,#FEE84E$#3399ff$#3399ff$#3399ff$#3399ff,[战报]：$服的$手刃战场BOSS$，一身是胆，获得战场积分$！,5$1$5$4,10,
1141,#FEE84E$#3399ff$#3399ff$#3399ff,[战报]：$击杀$，阵营士气大振，胜利值增加$！,1$5$4,10,
1169,#FEE84E$#ff0000,[传闻]：$已连胜60场，气撼天地，为神为魔。,1,10,
1170,#56ffdf$#00ff00$#fff000,[传闻]：仙门崛起！$建立了仙门$，广散英雄帖，招纳江州降魔之士！,1$5,10,我要入帮$GuildWindow$0$0
1171,#FEE84E$#ff0000,[传闻]：$已连胜80场，低低叹息，无敌也是种寂寞吧。,1,10,
1164,#FEE84E$#ff0000,[传闻]：$已连胜10场，技压群英，势不可挡。,1,10,
1165,#FEE84E$#ff0000,[传闻]：$已连胜20场，笑傲四方，但求一败。,1,10,
1166,#FEE84E$#ff0000,[传闻]：$已连胜30场，威震四海，无人能敌。,1,10,
151,#FEE84E$#3399ff$#3399ff,[传闻]：$得天独厚，机缘巧合，炼制出了$，简直是神装在手，你无我有！,1$2,10,我要炼制$RefineSystemWnd$1$0
152,#FEE84E$#3399ff$#3399ff,[传闻]：$得天独厚，机缘巧合，炼制出了$，简直是霸气外露，举世无双！,1$2,10,我要炼制$RefineSystemWnd$2$0
153,#FEE84E$#3399ff$,[传闻]：$成功手刃40级世界BOSS驱神魔王，获得$，气吞山河！,1$2,10,
154,#FEE84E$#3399ff$,[传闻]：$成功手刃45级世界BOSS通风魔王，获得$，气吞山河！,1$2,10,
155,#FEE84E$#3399ff$,[传闻]：$成功手刃50级世界BOSS移山魔王，获得$，气吞山河！,1$2,10,
156,#FEE84E$#3399ff$,[传闻]：$成功手刃55级世界BOSS混天魔王，获得$，气吞山河！,1$2,10,
157,#FEE84E$#3399ff$,[传闻]：$成功手刃60级世界BOSS覆海魔王，获得$，气吞山河！,1$2,10,
158,#FEE84E$#3399ff$,[传闻]：$成功手刃65级世界BOSS平天魔王，获得$，气吞山河！,1$2,10,
159,#FEE84E$#3399ff$,[传闻]：$成功手刃70级世界BOSS诛心魔王，获得$，气吞山河！,1$2,10,
160,#FEE84E$#3399ff$,[传闻]：$成功手刃75级世界BOSS阴毒魔王，获得$，气吞山河！,1$2,10,
161,#FEE84E$#3399ff$,[传闻]：$成功手刃80级世界BOSS波旬魔王，获得$，气吞山河！,1$2,10,
162,#FEE84E$#3399ff$,[传闻]：$仙门合力手刃了人界雪山猿魔，意外获得$！,1$2,10,
163,#FEE84E$#3399ff$,[传闻]：$仙门合力手刃了人界暴怒魔君，意外获得$！,1$2,10,
164,#FEE84E$#3399ff$,[传闻]：$仙门合力手刃了人界枯木之源，意外获得$！,1$2,10,
165,#FEE84E$#3399ff$,[传闻]：$仙门合力手刃了仙界邪居魔主，意外获得$！,1$2,10,
166,#FEE84E$#3399ff$,[传闻]：$仙门合力手刃了仙界天门门奴，意外获得$！,1$2,10,
167,#FEE84E$#3399ff$,[传闻]：$仙门合力手刃了仙界魔化黑无常，意外获得$！,1$2,10,
168,#FEE84E$#3399ff$,[传闻]：$仙门合力手刃了神界魔化钟馗，意外获得$！,1$2,10,
169,#FEE84E$#3399ff$,[传闻]：$仙门合力手刃了神界魔化罗刹，意外获得$！,1$2,10,
170,#FEE84E$#3399ff$,[传闻]：$仙门合力手刃了神界寒冰魔后，意外获得$！,1$2,10,
1168,#FEE84E$#ff0000,[传闻]：$已连胜50场，举剑问天，笑傲群仙。,1,10,
1179,#FEE84E$#ff0000$#ff0000$#7fff00$#7fff00,[祝贺]：恭喜玩家$与$喜结连理，成功预约了$点$分的婚宴庆典。欢迎各路朋友一同庆祝！,1$1$4$4,10,
1180,#FEE84E$#ff0000$#ff0000,[祝贺]：恭喜玩家$与$的婚宴庆典隆重开始了，邀请全服玩家一起庆祝。实乃佳偶天成啊！,1$1,10,
1181,#FEE84E,[传闻]：天下武道会32进16的比赛正式开始，各路高手力争晋级！,,10,
1182,#FEE84E,[传闻]：天下武道会16进8的比赛正式开始，精英们之间的对决！,,10,
1183,#FEE84E,[传闻]：天下武道会8进4的比赛正式开始，为四强名额而战！,,10,
1184,#FEE84E,[传闻]：天下武道会4强赛正式开始，争夺冠军赛的资格！,,10,
1185,#FEE84E$#ff0000$#ff0000,[传闻]：武斗场展开了一场精彩绝伦的比赛，$和$将要为荣誉而战争夺天下武道会的季军！,1$1,10,
1186,#FEE84E$#ff0000$#ff0000,[传闻]：武斗场展开了一场震烁古今的较量，$和$将上演终极对决争夺天下武道会的冠军！,1$1,10,
1177,#FEE84E$#ff0000,[传闻]：$已连胜70场，心无他念，但求一败。,1,10,
1167,#FEE84E$#ff0000,[传闻]：$已连胜40场，声震寰宇，名彻九霄。,1,10,
1189,#FEE84E$#ff0000$#ff0000,[祝贺]：恭喜玩家$集齐了足够的碎片跟后羿大叔换来了一只$坐骑，拉轰至极！,1$2,10,
1190,#56ffdf$#ff0000,[公告]：$在冠军争夺战中表现神勇，一举拿下天下武道会的冠军成为新的武斗王者！,1,10,
1191,#56ffdf$#ff0000,[公告]：$在冠军争夺战中拼尽全力，虽败犹荣，获得天下武道会亚军！,1,10,
1192,#56ffdf$#ff0000,[公告]：$在季军争夺站中率先发力，拿下了天下武道会的季军！,1,10,
1160,#FEE84E$#ff0000,[传闻]：恭喜$名彻九霄，夺得天山斗法第一名，获三大斗者称号。,1,10,
1173,#FEE84E$#ff0000,[传闻]：$已连胜99场，人，仙，神，魔，唯我独尊。,1,10,
1162,#FEE84E$#ff0000,[传闻]：恭喜$威震四海，夺得天山斗法第三名，获三大斗者称号。,1,10,
1175,#FEE84E$#3399ff$,[祝贺]：恭喜$通过幸运转轮获得$，果然是人品大爆发！,1$2,10,
1176,#FEE84E$#ff0000$#ff0000$#ff0000,[传闻]：相守是我们的承诺，$向$赠送了$，永远铭记我们这段美丽的爱情故事！,1$1$2,10,
1188,#FEE84E$#ff0000$#ff0000,[祝贺]：恭喜玩家$集齐了足够的月饼跟嫦娥姐姐换来了一只$宠物蛋，羡煞众人！,1$2,10,
1178,#FEE84E$#ff0000$#ff0000,[祝贺]：十年修得同船渡，百年修得共枕眠。祝贺$与$情定终身。普天同庆！,1$1,10,
1172,#FEE84E$#ff0000,[传闻]：$已连胜90场，在神的眼中苍生与蝼蚁何异。,1,10,
1174,#FEE84E$#ff0000$#ff0000$#ff0000,[传闻]：强中自有强中手，$终结了$的$连胜。,1$1$4,10,
1187,#FEE84E$#ff0000$#ff0000,[祝贺]：恭喜玩家$集齐食材做出了美味的$馋的旁人直流口水！,1$2,10,
1006,#FEE84E$#3399ff$$,[传闻]：$有如神助，借助天地晶石的巨大能量，成功将$升级成了$,1$3$3,10,我要升级$EnhanceViewWindow$8$0
1008,#FEE84E$#e20e18$#3399ff$#0ef5bc$#e20e18$#3399ff,$的$在$将$的$斩杀，横刀立马，仰天长啸：“悬尔之首，以示万里，敢犯强者，虽远必诛!”,5$1$5$5$1,10,
1011,#FEE84E$#3399ff$#3399ff,[传闻]：$幸运的在商城中购买到了$，魔狮认主从此世间再添一位战皇。,1$2,10,我要购买$ShoppeWindow$3$0
